feature_index,feature_name,expected_feature_name,model_feature_name,name_matches,feature_role,is_categorical,is_numeric,high_cardinality_feature,correlated_feature
0,sessions_14d,sessions_14d,sessions_14d,True,numeric,False,True,False,True
1,active_days_14d,active_days_14d,active_days_14d,True,numeric,False,True,False,True
2,support_tickets_14d,support_tickets_14d,support_tickets_14d,True,numeric,False,True,False,True
3,revenue_30d,revenue_30d,revenue_30d,True,numeric,False,True,False,True
4,days_since_signup,days_since_signup,days_since_signup,True,numeric,False,True,False,True
5,had_support_ticket_14d,had_support_ticket_14d,had_support_ticket_14d,True,numeric,False,True,False,True
6,plan_id,plan_id,plan_id,True,categorical,True,False,False,False
7,platform,platform,platform,True,categorical,True,False,False,False
8,country,country,country,True,categorical,True,False,False,False
9,acquisition_channel,acquisition_channel,acquisition_channel,True,categorical,True,False,True,False
