warning_id,severity,feature_name,observed,expected,reason,blocks_readiness
high_cardinality_features_flagged_for_shap_explanations,warning,acquisition_channel,acquisition_channel,high-cardinality categorical features interpreted with caution,Sparse categories can make local categorical split explanations brittle on tiny samples.,False
correlated_features_can_share_shap_attribution,warning,sessions_14d|active_days_14d,0.981981,abs correlation < 0.8,Tree SHAP explains this tree path; correlated features can still split or hide underlying signal.,False
correlated_features_can_share_shap_attribution,warning,sessions_14d|revenue_30d,1.0,abs correlation < 0.8,Tree SHAP explains this tree path; correlated features can still split or hide underlying signal.,False
correlated_features_can_share_shap_attribution,warning,support_tickets_14d|had_support_ticket_14d,0.904534,abs correlation < 0.8,Tree SHAP explains this tree path; correlated features can still split or hide underlying signal.,False
correlated_features_can_share_shap_attribution,warning,revenue_30d|days_since_signup,0.866025,abs correlation < 0.8,Tree SHAP explains this tree path; correlated features can still split or hide underlying signal.,False
correlated_features_can_share_shap_attribution,warning,days_since_signup|had_support_ticket_14d,0.894427,abs correlation < 0.8,Tree SHAP explains this tree path; correlated features can still split or hide underlying signal.,False
tiny_background_reference_makes_shap_baseline_unstable,warning,,4,>= 20,"The path-dependent SHAP baseline is documented, but four train rows are not enough for a strong explanation claim.",False
tiny_explanation_sample_makes_global_shap_unstable,warning,,3,>= 20,"Mean absolute SHAP on three validation rows is a protocol check, not a production global explanation.",False
tiny_tree_count_makes_shap_explanations_unstable,warning,,1,>= 10,"A one-tree CatBoost model is useful for testing SHAP mechanics, not for stable interpretation.",False
poor_or_flat_model_score_limits_shap_claims,warning,,0.698394,< 0.693147,Explaining a weak model explains its weak decision rule; it does not create a reliable business story.,False
raw_margin_output_is_not_probability,warning,,raw_margin,probability only after link transformation,Additivity is checked in raw-margin space; local SHAP values are not probability-point changes.,False
tree_path_dependent_background_required_for_catboost_categories,warning,,catboost_tree_path_dependent_training_path_counts,"documented background mode, no external background data",SHAP TreeExplainer cannot use external background data with CatBoost categorical splits; the path-dependent mode must be explicit.,False
