check_id,severity,valid,observed,expected
input_files_are_present,error,True,"[""baseline_package_report"", ""catboost_spec"", ""early_stopping_report"", ""early_stopping_spec"", ""features"", ""imbalance_predictions"", ""labels"", ""manifest"", ""policy"", ""shap_report"", ""shap_spec""]","""all required input files"""
segment_policy_matches_upstream_handoff,error,True,"{""segment_analysis_audit_id"": ""trial-churn-strong-model-segment-audit-v0"", ""baseline_model_id"": ""random_forest_depth2_class_weight_balanced"", ""early_stopping_model_id"": ""catboost_depth2_native_categories_es_logloss"", ""analysis_split"": ""validation""}","""policy matches upstream handoffs"""
segment_analysis_uses_validation_and_excludes_final_test,error,True,"{""splits"": [""validation""], ""final_holdout_rows"": 0}","""validation split only; final test excluded"""
prediction_rows_cover_same_analysis_ids,error,True,"{""baseline_ids"": [""S005"", ""S006"", ""S007""], ""catboost_ids"": [""S005"", ""S006"", ""S007""]}","""both models scored the same validation rows"""
slice_metrics_cover_required_dimensions,error,True,"{""dimensions"": [""acquisition_channel"", ""business_cohort"", ""country"", ""overall"", ""plan_id"", ""platform"", ""score_band"", ""segment_id""], ""row_count"": 38}","""overall, required, business and derived dimensions"""
baseline_delta_rows_are_complete,error,True,"{""delta_row_count"": 19}","""one baseline-to-CatBoost delta per slice"""
strong_model_small_n_slices_visible,warning,False,"{""small_n_slice_count"": 36, ""min_rows_per_slice"": 3}","""small slices remain visible and diagnostic-only"""
strong_model_hidden_failure_slices_visible,warning,False,"[{""dimension"": ""segment_id"", ""slice_value"": ""ios_ru"", ""reasons"": ""error_rate_worse,new_false_positive_ids:S005""}, {""dimension"": ""segment_id"", ""slice_value"": ""web_ru"", ""reasons"": ""error_rate_worse,recall_worse,new_false_negative_ids:S006""}, {""dimension"": ""platform"", ""slice_value"": ""ios"", ""reasons"": ""error_rate_worse,new_false_positive_ids:S005""}, {""dimension"": ""platform"", ""slice_value"": ""web"", ""reasons"": ""error_rate_worse,recall_worse,new_false_negative_ids:S006""}, {""dimension"": ""country"", ""slice_value"": ""RU"", ""reasons"": ""error_rate_worse,precision_worse,recall_worse,new_false_positive_ids:S005,new_false_negative_ids:S006""}, {""dimension"": ""plan_id"", ""slice_value"": ""trial_basic"", ""reasons"": ""error_rate_worse,new_false_positive_ids:S005""}, {""dimension"": ""plan_id"", ""slice_value"": ""trial_pro"", ""reasons"": ""error_rate_worse,recall_worse,new_false_negative_ids:S006""}, {""dimension"": ""acquisition_channel"", ""slice_value"": ""influencer"", ""reasons"": ""error_rate_worse,recall_worse,new_false_negative_ids:S006""}, {""dimension"": ""acquisition_channel"", ""slice_value"": ""organic"", ""reasons"": ""error_rate_worse,new_false_positive_ids:S005""}, {""dimension"": ""business_cohort"", ""slice_value"": ""trial_basic:RU"", ""reasons"": ""error_rate_worse,new_false_positive_ids:S005""}, {""dimension"": ""business_cohort"", ""slice_value"": ""trial_pro:RU"", ""reasons"": ""error_rate_worse,recall_worse,new_false_negative_ids:S006""}, {""dimension"": ""score_band"", ""slice_value"": ""high"", ""reasons"": ""error_rate_worse,precision_worse""}, {""dimension"": ""score_band"", ""slice_value"": ""medium"", ""reasons"": ""error_rate_worse,new_false_positive_ids:S005,new_false_negative_ids:S006""}]","""candidate-worse slices should be reported, not hidden by averages"""
candidate_worse_than_baseline_on_validation,warning,False,"{""baseline_precision"": 0.5, ""candidate_precision"": 0.0, ""baseline_recall"": 1.0, ""candidate_recall"": 0.0, ""error_rate_delta"": 0.666667}","""CatBoost must not be promoted on aggregate validation metrics"""
score_band_membership_differs_between_models,warning,False,"{""shift_count"": 1, ""snapshot_ids"": [""S006""]}","""score-band slices are model-specific and must be interpreted as such"""
candidate_not_promoted_without_segment_gain,warning,False,"{""overall_candidate_worse"": true, ""hidden_failure_slice_count"": 13}","""strong model is diagnostic only until cost-sensitive decision confirms a gain"""
